,nodename,bsize,numjobs,stripecount,95per,99per,99.9per,99.99per,min_iops,max_iops,avg_iops,throughput,pm1_nvme0_io,pm1_nvme1_io,pm1_nvme2_io,pm1_nvme3_io,pm2_nvme0_io,pm2_nvme1_io,pm2_nvme2_io,pm2_nvme3_io,pm3_nvme0_io,pm3_nvme1_io,pm3_nvme2_io,pm3_nvme3_io,pm1_nvme0_write,pm1_nvme1_write,pm1_nvme2_write,pm1_nvme3_write,pm2_nvme0_write,pm2_nvme1_write,pm2_nvme2_write,pm2_nvme3_write,pm3_nvme0_write,pm3_nvme1_write,pm3_nvme2_write,pm3_nvme3_write
0,CN10,4G,1,12,786.0,1062.0,1778.0,2595.0,1366.0,1511.0,1444.52,1521.2,1946.92,1954.3,1944.24,1950.07,1916.66,1911.49,1942.12,1914.26,1939.69,1930.11,1865.47,1957.37,205.59,205.43,204.69,205.01,205.32,206.31,204.65,205.74,205.73,205.99,204.89,206.27
1,CN10,4G,2,12,856.0,1060.0,2022.0,7007.0,1222.0,1438.0,1362.95,2839.8,3959.54,3961.86,4048.46,3998.82,3824.59,4006.95,3961.13,4077.7,3435.31,3431.95,3366.5,3497.45,421.59,423.4,425.71,422.71,411.36,430.18,419.64,434.42,365.29,368.07,367.17,369.15
2,CN10,4G,4,12,976.0,1168.0,1644.0,2009.0,1241.0,1354.0,1300.72,5409.2,6849.36,6778.98,6869.05,6851.1,6687.42,6723.22,6785.45,6825.36,6105.05,6201.17,6010.46,6120.8,816.27,805.58,815.87,813.37,789.2,797.89,788.82,801.58,709.75,709.09,708.38,700.8
3,CN10,4G,8,12,2399.0,24825.0,43333.0,54657.0,309.0,1269.0,684.36,5410.2,8953.25,9067.86,8850.08,8832.84,8584.64,8968.26,8600.18,8694.43,8360.79,8539.85,8417.57,8467.93,1069.44,1080.31,1060.06,1057.11,1025.74,1070.2,1032.71,1045.15,1003.55,1021.04,1014.64,1016.82
4,CN10,4G,16,12,23095.0,51013.0,79220.0,105067.0,139.0,1119.0,289.29,4696.4,9414.21,9294.12,9227.27,9268.23,9299.66,9280.47,9336.81,9197.26,9159.77,9201.84,9111.88,9176.0,1132.87,1127.66,1117.53,1121.4,1103.76,1100.93,1110.74,1106.9,1095.46,1109.39,1094.7,1098.92
5,CN10,8G,1,12,756.0,936.0,1680.0,2012.0,1337.0,1535.0,1469.71,1540.4,2806.44,2787.95,2838.16,2774.6,2800.7,2846.39,2799.64,2825.6,2814.27,2816.21,2804.92,2841.85,297.04,296.64,298.38,298.23,298.85,298.1,298.22,299.48,297.5,298.88,298.21,298.52
6,CN10,8G,2,12,835.0,1002.0,1588.0,2074.0,1255.0,1482.0,1385.53,2896.6,5523.28,5476.13,5507.09,5470.83,5536.33,5437.3,5534.68,5498.05,5254.08,5183.48,5282.77,5315.0,580.42,581.95,579.46,581.94,578.56,578.68,580.51,583.6,554.66,555.42,555.03,555.97
7,CN10,8G,4,12,984.0,1165.0,2307.0,8000.0,1147.0,1373.0,1294.63,5309.6,9020.96,9082.69,9230.62,8933.21,8731.64,8878.41,8754.23,8737.79,8835.77,8755.83,8767.89,8617.53,1068.7,1084.69,1102.84,1066.23,1037.82,1049.92,1033.62,1027.12,1043.26,1043.51,1054.13,1031.63
8,CN10,8G,8,12,4517.0,25874.0,44748.0,55024.0,337.0,1333.0,594.75,4888.8,9899.86,9889.87,9882.15,9798.65,9975.91,9878.99,9915.06,9835.7,9853.14,9846.51,9742.39,9784.13,1194.38,1202.44,1201.27,1193.37,1198.45,1191.87,1196.15,1190.29,1180.62,1181.69,1176.14,1175.68
9,CN10,8G,16,12,23724.0,56676.0,96993.0,120586.0,72.0,683.0,169.66,4419.6,10132.4,10250.43,10153.68,10226.14,10332.32,10224.05,10164.48,10165.74,9893.06,10033.78,9920.38,10041.84,1232.4,1250.62,1239.33,1250.39,1265.59,1250.7,1246.19,1245.92,1203.85,1225.78,1211.23,1225.76
